customer_id,age,annual_income,employment_years,employment_type,education,marital_status,city_tier,credit_score,existing_loans,loan_amount,loan_term_months,loan_approved
CUST1054,41,66584.74,8,Salaried,Bachelor,Divorced,Tier 1,722.0,0,29803.38,48,1
CUST1055,20,74105.59,2,Salaried,Bachelor,Single,Tier 2,782.0,0,27528.44,36,1
CUST1056,44,100556.61,0,Business,Bachelor,Single,Tier 2,705.0,0,74745.07,48,1
CUST1057,25,19608.76,7,Self-Employed,Bachelor,Single,Tier 1,650.0,1,26353.81,48,0
CUST1058,53,51995.72,11,Salaried,Bachelor,Single,Tier 2,709.0,2,27056.88,60,0
CUST1059,50,77999.94,0,Salaried,Bachelor,Married,Tier 1,431.0,0,61787.59,36,0
CUST1060,62,30204.92,19,,Master,Single,Tier 3,713.0,1,12368.2,12,1
CUST1061,53,97470.88,18,Business,Bachelor,Married,Tier 3,370.0,1,28018.48,36,1
CUST1062,35,73103.85,0,Self-Employed,High School,Married,Tier 2,534.0,0,43448.84,24,1
CUST1063,64,83624.85,3,Salaried,High School,Single,Tier 3,718.0,0,19906.78,24,1
CUST1064,37,52439.24,8,Business,Bachelor,Single,Tier 3,721.0,0,50120.73,36,0
CUST1065,33,82902.8,11,Salaried,Bachelor,Single,Tier 1,581.0,1,39305.43,48,1
CUST1066,61,88506.37,15,Self-Employed,Master,Married,Tier 2,619.0,1,76810.96,24,0
CUST1067,35,70123.32,9,Salaried,Bachelor,Married,Tier 2,796.0,2,62462.71,24,0
CUST1068,21,70156.82,3,Salaried,Bachelor,Single,Tier 1,639.0,2,20764.23,12,0
CUST1069,40,70947.55,0,Salaried,Bachelor,Married,Tier 2,850.0,2,23359.86,60,1
CUST1070,56,46006.4,14,Salaried,High School,Married,Tier 1,680.0,3,41945.22,48,0
CUST1071,27,61754.37,9,Business,Master,Single,Tier 3,715.0,2,29913.35,12,0
CUST1072,40,61644.5,11,Salaried,High School,Single,Tier 2,817.0,2,56803.53,12,0
CUST1073,24,73434.67,6,Self-Employed,Bachelor,Divorced,Tier 3,691.0,2,13256.87,36,1
CUST1074,50,,6,,Master,Single,Tier 2,595.0,2,70629.63,36,1
CUST1075,40,41712.21,20,Self-Employed,Bachelor,Single,Tier 1,671.0,2,42738.37,36,0
CUST1076,33,62249.8,0,Business,Master,Single,Tier 3,677.0,3,25577.63,36,0
CUST1077,28,97592.02,6,Salaried,Bachelor,Married,Tier 1,564.0,1,34580.48,60,1
CUST1078,45,48641.06,3,Salaried,Master,Married,Tier 1,658.0,1,56608.01,36,0
CUST1079,50,46910.5,19,Salaried,Bachelor,Single,Tier 2,617.0,1,13621.33,48,1
CUST1080,63,69450.74,10,Salaried,Bachelor,Married,Tier 2,759.0,2,35134.63,12,1
CUST1081,38,83576.47,20,Business,High School,Married,Tier 1,683.0,1,40269.52,60,1
CUST1082,25,65251.37,7,Salaried,High School,Single,Tier 1,656.0,2,34581.14,60,0
CUST1083,57,94237.13,12,Salaried,Bachelor,Married,Tier 1,671.0,2,88022.43,48,0
CUST1084,48,83849.47,11,Salaried,High School,Single,Tier 1,699.0,3,78295.57,36,0
CUST1085,51,83520.04,4,Salaried,Bachelor,Single,Tier 1,732.0,0,51275.77,24,1
CUST1086,22,77190.56,4,Self-Employed,Master,Divorced,Tier 2,595.0,1,92507.77,48,0
CUST1087,32,116208.37,14,Salaried,Master,Married,Tier 1,591.0,2,28989.71,48,1
CUST1088,54,60486.44,21,Self-Employed,High School,Single,Tier 1,774.0,3,4151.75,24,1
CUST1089,57,20922.51,12,Self-Employed,Master,Married,Tier 2,645.0,2,10177.89,36,1
CUST1090,38,100293.6,20,Self-Employed,High School,Married,Tier 2,560.0,1,103802.95,36,0
CUST1091,56,54930.61,20,Salaried,Bachelor,Single,Tier 1,718.0,1,3000.0,60,1
CUST1092,58,67373.37,11,Self-Employed,,Married,Tier 1,719.0,0,21321.29,48,1
CUST1093,36,93810.12,9,Salaried,High School,Married,Tier 1,550.0,3,51800.76,48,0
CUST1094,61,29750.29,3,Salaried,,Single,Tier 3,700.0,0,29699.01,48,0
CUST1095,31,37463.76,5,Self-Employed,High School,Married,Tier 1,743.0,1,9150.51,36,1
CUST1096,29,29771.89,11,Self-Employed,Bachelor,Single,Tier 1,712.0,2,19011.52,36,0
CUST1097,50,47529.0,3,Salaried,Master,Single,Tier 2,734.0,1,44415.83,12,0
CUST1098,48,74672.01,8,Business,High School,Divorced,Tier 1,561.0,0,41778.53,48,0
CUST1099,24,76532.13,6,Salaried,High School,Married,Tier 1,708.0,0,22595.41,36,1
CUST1100,57,71078.03,5,Self-Employed,Bachelor,Married,Tier 1,654.0,2,38710.39,36,0
CUST1101,27,33919.15,9,Business,High School,Married,Tier 2,639.0,1,19941.97,24,1
CUST1102,56,18000.0,14,Salaried,Bachelor,Married,Tier 2,754.0,0,3000.0,24,1
CUST1103,18,66195.78,0,Self-Employed,Master,Single,Tier 2,806.0,1,57108.79,36,1
CUST1104,56,54620.93,5,Self-Employed,Bachelor,Divorced,Tier 3,833.0,0,29336.02,24,1
CUST1105,55,75106.49,16,Self-Employed,Master,Married,Tier 1,792.0,2,60648.3,12,0
CUST1106,55,80442.98,18,Self-Employed,Bachelor,Married,Tier 3,671.0,0,86334.51,48,0
CUST1107,49,68041.31,20,Self-Employed,Master,Married,Tier 2,710.0,0,33548.47,36,1
CUST1108,40,81722.93,18,Salaried,High School,Single,Tier 3,,0,57650.06,36,1
CUST1109,51,,1,Self-Employed,High School,Single,Tier 2,690.0,1,75789.26,36,0
CUST1110,31,76661.42,13,Salaried,,Single,Tier 2,691.0,1,34488.62,48,1
CUST1111,55,49497.19,2,Business,High School,Single,Tier 1,750.0,2,35224.68,36,0
CUST1112,44,61048.55,1,Salaried,Master,Married,Tier 2,675.0,1,45925.58,48,0
CUST1113,40,69329.07,15,Salaried,Bachelor,Married,Tier 1,618.0,0,17097.57,60,1
CUST1114,42,83051.63,10,Business,Master,Single,Tier 2,645.0,0,50611.8,48,1
CUST1115,45,56337.69,14,Salaried,High School,Single,Tier 1,734.0,0,6190.74,36,1
CUST1116,19,76465.68,1,Salaried,Bachelor,Married,Tier 1,680.0,2,23673.81,48,1
CUST1117,24,59151.55,1,Self-Employed,Bachelor,Single,Tier 3,709.0,0,35035.58,36,0
CUST1118,29,62414.07,11,Salaried,High School,Divorced,Tier 2,737.0,3,25017.33,36,0
CUST1119,23,83249.42,5,Salaried,Bachelor,Single,Tier 2,648.0,0,69751.67,36,0
CUST1120,39,21152.67,9,Salaried,Bachelor,Single,Tier 1,744.0,0,17634.51,36,1
CUST1121,50,36477.61,11,Salaried,Master,Single,Tier 2,712.0,0,32050.89,24,1
CUST1122,49,32391.92,10,Salaried,Bachelor,Divorced,Tier 3,575.0,0,13680.78,36,1
CUST1123,40,18000.0,19,Salaried,High School,Single,Tier 2,803.0,2,11621.24,24,0
CUST1124,59,50078.18,1,Salaried,Bachelor,Married,Tier 2,637.0,1,27196.24,36,1
CUST1125,45,81487.55,19,Salaried,Bachelor,Single,Tier 2,539.0,0,20616.42,36,1
CUST1126,21,58732.55,3,Salaried,High School,Single,Tier 1,591.0,1,58276.89,60,0
CUST1127,54,69351.38,17,Self-Employed,Bachelor,Married,Tier 2,593.0,1,39954.74,12,1
CUST1128,45,88962.78,9,Self-Employed,High School,Single,Tier 3,684.0,3,36609.88,48,0
CUST1129,48,94209.09,11,Salaried,High School,Single,Tier 2,657.0,3,86867.87,36,0
CUST1130,45,63478.97,8,Salaried,Bachelor,Married,Tier 2,651.0,1,39128.08,12,0
CUST1131,44,94778.89,5,Business,High School,Married,Tier 2,733.0,2,24235.85,24,1
CUST1132,22,67026.79,4,Self-Employed,Bachelor,Single,Tier 2,709.0,2,29407.53,24,1
CUST1133,44,46577.24,11,Salaried,High School,Single,Tier 3,707.0,1,47720.62,24,0
CUST1134,56,51923.19,15,Salaried,Bachelor,Divorced,Tier 2,715.0,1,40341.96,36,0
CUST1135,32,32428.2,2,Salaried,High School,Married,Tier 2,732.0,0,11459.73,36,1
CUST1136,46,45461.06,17,Self-Employed,Master,Married,Tier 2,501.0,2,46518.59,36,0
CUST1137,19,57123.63,1,Business,High School,Married,Tier 2,649.0,3,54063.47,12,0
CUST1138,34,82678.87,16,Business,Bachelor,Married,Tier 1,495.0,0,74492.99,24,0
CUST1139,38,102856.94,2,Salaried,Bachelor,Single,Tier 2,683.0,2,27275.31,24,1
CUST1140,65,34592.01,11,Salaried,High School,Single,Tier 3,680.0,3,7498.29,36,0
CUST1141,28,73642.2,10,Salaried,Bachelor,Married,Tier 2,769.0,0,66352.87,36,0
CUST1142,31,42108.03,11,Salaried,Master,Married,Tier 1,781.0,1,19150.97,36,1
CUST1143,37,75443.34,1,Salaried,Master,Divorced,Tier 2,697.0,2,50116.66,24,0
CUST1144,65,62116.09,10,Self-Employed,High School,Married,Tier 2,637.0,3,46465.67,12,0
CUST1145,58,24720.07,6,Salaried,High School,Single,Tier 1,721.0,0,8360.95,60,1
CUST1146,19,85422.53,1,Business,Bachelor,Married,Tier 2,635.0,0,77235.96,24,0
CUST1147,29,51689.98,5,Salaried,Bachelor,Married,Tier 2,680.0,1,57894.53,24,0
CUST1148,57,53254.19,9,Salaried,High School,Married,Tier 3,764.0,0,60138.75,24,0
CUST1149,20,41465.45,2,Business,Bachelor,Married,Tier 1,633.0,0,25541.57,60,1
CUST1150,59,50605.77,1,Self-Employed,Bachelor,Married,Tier 1,748.0,0,53133.16,48,0
CUST1151,31,74413.59,13,Salaried,Bachelor,Single,Tier 2,738.0,0,40906.62,48,1
CUST1152,62,60836.62,15,Self-Employed,Bachelor,Married,Tier 1,599.0,1,43161.02,60,0
CUST1153,32,72230.56,1,Salaried,Bachelor,Married,Tier 2,763.0,1,78216.72,24,0
CUST1154,38,72962.28,1,Salaried,High School,Married,Tier 3,739.0,1,56420.75,60,0
CUST1155,49,94054.56,18,Salaried,Bachelor,Single,Tier 1,689.0,2,32520.93,24,1
CUST1156,24,57458.7,6,Salaried,High School,Married,Tier 2,615.0,1,14777.71,48,1
CUST1157,44,32509.13,18,Self-Employed,Bachelor,Married,Tier 3,607.0,0,11605.79,36,1
CUST1158,42,88478.89,10,Salaried,Bachelor,Married,Tier 2,634.0,0,49223.42,36,1
CUST1159,55,57707.26,7,Self-Employed,Bachelor,Single,Tier 2,726.0,0,34221.52,60,1
CUST1160,65,89521.03,6,,High School,Married,Tier 2,599.0,0,71584.76,24,0
CUST1161,49,73434.3,14,Salaried,High School,Married,Tier 1,717.0,0,32936.51,60,1
CUST1162,37,62114.97,2,Salaried,Bachelor,Married,Tier 1,574.0,0,45995.39,36,1
CUST1163,37,72673.07,8,Salaried,Bachelor,Married,Tier 2,663.0,0,80542.72,48,0
CUST1164,38,107922.28,7,Self-Employed,Master,Single,Tier 2,689.0,1,44930.19,60,1
CUST1165,57,110693.57,3,Self-Employed,Bachelor,Married,Tier 1,850.0,1,89712.37,12,0
CUST1166,33,66526.38,7,Self-Employed,Master,Married,Tier 1,563.0,3,41751.65,60,0
CUST1167,26,68524.19,8,Salaried,High School,Married,Tier 3,805.0,2,39118.4,36,0
CUST1168,34,88677.28,14,Salaried,Bachelor,Single,Tier 1,693.0,1,28801.09,48,1
CUST1169,19,46395.46,1,Salaried,High School,Married,Tier 2,715.0,0,50169.43,24,0
CUST1170,23,72327.55,5,Salaried,Bachelor,Single,Tier 2,690.0,1,69598.82,36,0
CUST1171,22,64431.02,4,Self-Employed,High School,Married,Tier 2,718.0,0,53256.23,48,0
CUST1172,55,71905.98,15,Salaried,High School,Married,Tier 1,667.0,1,78211.55,36,0
CUST1173,52,46665.89,20,Salaried,Bachelor,Single,Tier 1,804.0,1,33962.5,24,0
CUST1174,51,30029.52,9,Salaried,Bachelor,Married,Tier 2,641.0,1,21784.25,24,1
CUST1175,40,19394.36,18,Salaried,High School,Married,Tier 2,776.0,0,6391.04,60,1
CUST1176,52,40417.55,15,Self-Employed,High School,Married,Tier 1,625.0,1,26584.04,12,0
CUST1177,25,54909.14,7,Salaried,Bachelor,Single,Tier 2,675.0,2,61429.35,48,0
CUST1178,61,58549.79,3,,High School,Married,Tier 2,589.0,2,21592.38,60,1
CUST1179,42,107619.09,12,Business,High School,Single,Tier 1,719.0,1,62159.77,12,1
CUST1180,63,89331.85,19,Business,Bachelor,Married,Tier 2,803.0,1,71061.59,24,0
CUST1181,25,43834.0,7,Self-Employed,High School,Married,Tier 1,673.0,0,12910.19,48,1
CUST1182,41,72649.59,9,Self-Employed,Bachelor,Single,Tier 2,663.0,1,66236.06,12,0
CUST1183,51,,5,Self-Employed,Bachelor,Married,Tier 1,,1,27421.95,36,1
CUST1184,41,58744.0,16,Salaried,High School,Married,Tier 2,661.0,0,66844.34,48,0
CUST1185,39,69077.16,1,Salaried,High School,Married,Tier 1,545.0,0,73867.29,36,0
CUST1186,25,78621.76,3,Self-Employed,High School,Single,Tier 2,602.0,3,38558.25,36,0
CUST1187,36,57536.31,12,Salaried,High School,Single,Tier 2,699.0,1,49228.89,48,0
CUST1188,29,88404.73,11,Salaried,High School,Married,Tier 3,792.0,1,28627.08,36,1
CUST1189,32,39877.36,7,Business,Master,Single,Tier 2,850.0,1,25764.38,24,1
CUST1190,50,65139.46,9,Salaried,Master,Married,Tier 3,630.0,1,53433.92,36,0
CUST1191,48,122148.82,7,Salaried,Bachelor,Single,Tier 1,802.0,1,106956.59,60,0
CUST1192,47,69907.75,9,Self-Employed,Bachelor,Single,Tier 2,701.0,0,16528.92,48,1
CUST1193,35,96530.72,0,Salaried,Bachelor,Married,Tier 1,667.0,1,41027.76,36,1
CUST1194,64,67013.44,13,Business,Master,Single,Tier 2,717.0,1,56262.75,36,0
CUST1195,22,77777.1,4,,High School,Married,Tier 2,685.0,0,31857.85,24,1
CUST1196,34,63750.77,6,Business,High School,Single,Tier 3,689.0,2,30631.44,24,0
CUST1197,23,61251.03,5,Self-Employed,High School,Married,Tier 2,645.0,0,25603.56,12,1
CUST1198,34,47851.39,16,Salaried,High School,Single,Tier 2,561.0,1,19184.15,60,1
CUST1199,64,74466.63,4,Salaried,High School,Married,Tier 1,549.0,1,58481.04,24,1
CUST1200,35,46266.18,1,Salaried,Master,Married,Tier 1,736.0,1,16944.49,48,0
CUST1201,61,79642.88,0,Salaried,Master,Single,Tier 3,656.0,1,42034.58,24,1
CUST1202,41,88876.31,19,Salaried,High School,Married,Tier 1,629.0,3,100867.26,36,0
CUST1203,51,73063.69,8,Business,Bachelor,Single,Tier 1,681.0,1,16429.92,36,1
CUST1204,39,58702.53,2,Salaried,Bachelor,Married,Tier 3,748.0,2,53824.43,36,0
CUST1205,30,74987.24,12,Business,Bachelor,Single,Tier 3,695.0,1,32140.93,48,0
CUST1206,54,58209.19,3,Salaried,Bachelor,Married,Tier 2,624.0,0,61536.17,60,0
CUST1207,64,85582.04,7,Business,High School,Single,Tier 2,784.0,0,89436.83,60,0
CUST1208,30,24709.07,0,Salaried,Master,Married,Tier 3,814.0,1,31294.1,24,0
CUST1209,55,57616.64,14,Salaried,Master,Married,Tier 1,722.0,0,9398.94,48,1
CUST1210,30,21202.14,12,Salaried,Bachelor,Married,Tier 2,763.0,1,17008.27,24,0
CUST1211,52,32108.66,16,Salaried,Bachelor,Single,Tier 2,786.0,1,36576.91,60,0
CUST1212,55,95004.97,5,Self-Employed,Bachelor,Single,Tier 3,776.0,1,44845.21,36,1
CUST1213,39,84694.07,7,Salaried,Bachelor,Single,Tier 3,732.0,0,28283.58,36,1
CUST1214,53,49171.43,20,Salaried,High School,Married,Tier 2,731.0,2,16800.08,24,0
CUST1215,31,31944.92,13,,Bachelor,Married,Tier 1,724.0,1,40374.65,12,0
CUST1216,21,18000.0,0,Self-Employed,,Single,Tier 2,587.0,1,32848.91,24,0
CUST1217,22,53043.1,4,Salaried,Master,Married,Tier 1,740.0,0,34732.94,60,1
CUST1218,39,118249.13,17,Salaried,Bachelor,Single,Tier 3,565.0,1,97763.46,48,0
CUST1219,61,74567.45,12,Salaried,Bachelor,Single,Tier 1,612.0,0,46701.26,60,1
CUST1220,24,52689.41,6,Salaried,Bachelor,Married,Tier 1,791.0,1,28304.71,24,1
CUST1221,39,75231.76,0,Salaried,Master,Single,Tier 2,751.0,0,37182.77,36,1
CUST1222,51,30658.92,0,Business,High School,Single,Tier 2,806.0,3,3913.52,24,1
CUST1223,27,58458.89,0,Salaried,,Married,Tier 3,657.0,0,16918.37,36,1
CUST1224,52,67188.5,3,Self-Employed,High School,Single,Tier 1,582.0,1,69347.75,36,0
CUST1225,32,63105.79,14,Salaried,Bachelor,Married,Tier 3,660.0,0,54678.27,36,0
CUST1226,56,82397.73,13,Salaried,Master,Married,Tier 1,,1,53270.42,36,1
CUST1227,45,72582.19,17,Salaried,High School,Married,Tier 1,687.0,1,50877.86,24,0
CUST1228,44,79703.17,6,Salaried,Master,Married,Tier 2,776.0,1,31670.99,36,1
CUST1229,26,49855.81,8,Salaried,High School,Married,Tier 1,649.0,0,55361.57,48,0
CUST1230,40,84751.94,4,Salaried,Bachelor,Single,Tier 2,710.0,0,91193.45,24,0
CUST1231,59,100836.61,19,Salaried,High School,Married,Tier 1,596.0,0,105393.15,60,0
CUST1232,18,43656.71,0,Business,Bachelor,Married,Tier 1,718.0,3,29906.09,36,0
CUST1233,54,45470.7,0,Salaried,Bachelor,Married,Tier 2,680.0,1,14518.32,48,1
CUST1234,41,94387.26,1,Salaried,Bachelor,Single,Tier 1,616.0,0,36620.1,48,1
CUST1235,52,60790.43,17,Salaried,High School,Married,Tier 2,660.0,3,16880.56,48,0
CUST1236,49,95884.07,5,Salaried,Master,Married,Tier 2,664.0,0,23305.47,48,1
CUST1237,38,55264.21,9,Self-Employed,Master,Single,Tier 1,657.0,1,14868.07,60,1
CUST1238,32,97011.0,10,Salaried,Bachelor,Married,Tier 3,831.0,1,121414.9,48,0
CUST1239,48,67892.69,17,Self-Employed,Bachelor,Single,Tier 1,672.0,2,13067.7,36,1
CUST1240,24,70681.03,6,Salaried,Bachelor,Single,Tier 2,659.0,1,22438.21,24,1
CUST1241,46,99423.8,0,Salaried,High School,Married,Tier 1,502.0,1,101854.38,48,0
CUST1242,22,57041.05,4,Business,Master,Married,Tier 3,604.0,3,47980.57,12,0
CUST1243,49,44295.31,6,Salaried,High School,Single,Tier 2,658.0,0,39314.21,24,0
CUST1244,48,55131.59,16,Self-Employed,Bachelor,Single,Tier 2,622.0,3,24630.04,12,1
CUST1245,22,74951.35,4,Salaried,High School,Single,Tier 3,797.0,2,77673.82,36,0
CUST1246,54,30553.3,2,Business,High School,Married,Tier 1,666.0,2,7578.6,24,0
CUST1247,37,79024.36,17,Salaried,Bachelor,Married,Tier 3,790.0,0,61340.79,48,0
CUST1248,55,53147.03,1,Salaried,Bachelor,Married,Tier 2,685.0,0,45144.88,48,1
CUST1249,19,90251.88,1,Self-Employed,Master,Single,Tier 3,683.0,1,58894.63,60,1
CUST1250,26,18000.0,8,Salaried,Master,Married,Tier 3,672.0,1,3000.0,36,1
CUST1251,41,47695.55,6,Salaried,High School,Married,Tier 3,680.0,1,17476.48,36,1
CUST1252,27,27897.7,9,Business,High School,Married,Tier 1,826.0,2,10507.84,36,0
CUST1253,33,46822.95,6,Salaried,Bachelor,Single,Tier 3,483.0,1,42221.17,36,0
CUST1254,49,70448.65,17,Self-Employed,Bachelor,Single,Tier 3,510.0,0,24574.43,48,1
CUST1255,24,61057.01,6,Self-Employed,Bachelor,Married,Tier 2,634.0,1,18656.65,24,1
CUST1256,50,59425.69,17,Self-Employed,Master,Married,Tier 1,681.0,0,42193.58,60,0
CUST1257,22,61497.93,4,Business,Bachelor,Single,Tier 3,739.0,0,64262.66,24,0
CUST1258,26,69474.54,8,Salaried,High School,Married,Tier 1,720.0,0,39561.23,60,1
CUST1259,46,42812.21,9,Salaried,Bachelor,Single,Tier 2,647.0,2,40232.13,36,0
CUST1260,56,80550.69,17,Salaried,Bachelor,Single,Tier 2,767.0,1,87974.01,24,0
CUST1261,26,79578.65,8,Self-Employed,Bachelor,Married,Tier 1,768.0,1,16483.77,48,1
CUST1262,32,73470.83,10,Self-Employed,High School,Married,Tier 2,696.0,1,50033.93,24,0
CUST1263,62,77243.74,9,Salaried,Bachelor,Single,Tier 1,762.0,1,32843.43,48,1
CUST1264,65,71521.2,8,Salaried,Bachelor,Married,Tier 2,703.0,2,31128.77,36,1
CUST1265,45,109771.61,12,Salaried,High School,Married,Tier 3,632.0,2,81517.87,24,0
CUST1266,39,63083.93,15,Salaried,Bachelor,Single,Tier 1,739.0,1,62751.9,12,0
CUST1267,34,58244.17,9,,Bachelor,Married,Tier 2,689.0,2,20218.23,48,0
CUST1268,47,48422.39,17,Salaried,Bachelor,Married,Tier 1,680.0,1,43944.64,36,0
CUST1269,46,42290.22,18,Self-Employed,Bachelor,Married,Tier 3,805.0,1,23234.02,60,0
CUST1270,32,37621.62,9,Self-Employed,Master,Divorced,Tier 3,472.0,2,30014.49,48,0
CUST1271,19,45446.46,1,Business,High School,Married,Tier 1,559.0,1,38016.53,48,0
CUST1272,25,63445.03,3,Salaried,High School,Single,Tier 2,579.0,1,46042.62,36,0
CUST1273,64,,20,Business,High School,Single,Tier 2,649.0,0,55096.63,48,0
CUST1274,38,66125.13,6,Self-Employed,Bachelor,Married,Tier 2,658.0,1,10108.04,60,1
CUST1275,41,48158.22,12,Self-Employed,High School,Divorced,Tier 2,,1,23648.33,24,1
CUST1276,40,84804.06,6,Salaried,Bachelor,Single,Tier 2,596.0,1,68131.67,36,0
CUST1277,55,81267.08,9,Salaried,High School,Single,Tier 2,607.0,1,67156.34,24,0
CUST1278,21,61487.74,3,Self-Employed,High School,Married,Tier 1,850.0,0,22014.72,36,1
CUST1279,21,50635.84,3,Salaried,Bachelor,Single,Tier 2,833.0,2,40089.49,48,0
CUST1280,31,77065.41,1,Salaried,Bachelor,Single,Tier 3,645.0,0,52496.14,36,1
CUST1281,41,69135.42,18,Salaried,Master,Married,Tier 1,649.0,2,9079.24,36,1
CUST1282,50,33141.2,19,Salaried,Bachelor,Married,Tier 2,582.0,0,9506.39,36,1
CUST1283,41,63504.43,12,Salaried,Bachelor,Married,Tier 1,518.0,1,39490.93,24,1
CUST1284,39,70764.79,12,Salaried,Bachelor,Married,Tier 3,670.0,1,78281.08,36,0
CUST1285,63,45206.71,15,Salaried,Bachelor,Single,Tier 2,595.0,2,27322.66,60,0
